Timestamp,Score,Gender,Age,Years of experience,Are you proud employee of your company ?,Do you recommend your friends and family to this company?,Do you understand how your performance is measured?,Do you feel that your contribution towards company goal is valued ?,Teamwork and Cooperation,Appraisal,Leadership,Learning and Development,Compensation and  Rewards [This company finds a ways other than pay to reward excellent performance],"Compensation and  Rewards [When people work extra hard to meet our goals, they are rewarded accordingly]","Compensation and  Rewards [In this company, excellent financial results translates into better pay for the employees]",Benefits [I understand my benefits plan ],Benefits [I am satisfied with my benefits plan],Benefits [I am satisfied with the office perks I am granted],Work Environment [The company work environment is safe and comfortable],Work Environment [The company encourages and supports healthy work life balance],Work Environment [I feel welcome at company events and social interaction],Is your company thoughtful for work life balance ?,Do you feel that our company takes adequate action to promote employee wellness?,Do you see a path to advance your career in our company?,Do you think that work is distributed evenly across your team?,Do you enjoy our companyâ€™s culture?
3/26/2022 11:12:23,,Female,25 - 29,3 - 5 years,4,4,3,3,Spirit teamwork and cooperation exist in my team,Timely appraisal is done for the work we contribute,My supervisor provides me with actionable suggestions on what I can do to improve,I find my work meaningful and challenging and provides me the opportunity to learn new things,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,Yes,Yes,Yes
3/26/2022 11:28:48,,Male,25 - 29,5 - 9 years,4,5,4,4,"Able to easily work together, share knowledge, and cooperate within and across teams.",I am rewarded for the dedication and commitment towards the work,My supervisor provides me with actionable suggestions on what I can do to improve,I have adequate opportunities for professional growth in this organization,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Yes,Yes,Yes,Maybe,Yes
3/26/2022 11:35:38,,Male,25 - 29,3 - 5 years,5,5,4,4,Spirit teamwork and cooperation exist in my team,I am rewarded for the dedication and commitment towards the work,My opinions are heard and valued by my superiors,I have adequate opportunities for professional growth in this organization,Neutral,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,Yes,Yes,Yes
3/26/2022 11:37:09,,Male,30 - 39,5 - 9 years,5,5,5,5,"Able to easily work together, share knowledge, and cooperate within and across teams.",I am rewarded for the dedication and commitment towards the work,My supervisor provides me with actionable suggestions on what I can do to improve,I find my work meaningful and challenging and provides me the opportunity to learn new things,Strongly Disagree,Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,Maybe,Yes,Yes
3/26/2022 11:40:43,,Male,25 - 29,3 - 5 years,5,5,3,4,"Able to easily work together, share knowledge, and cooperate within and across teams.",I am rewarded for the dedication and commitment towards the work,My opinions are heard and valued by my superiors,I have adequate opportunities for professional growth in this organization,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,Yes,Yes,Yes
3/26/2022 11:43:10,,Male,25 - 29,below 3 years,2,2,3,2,"Able to easily work together, share knowledge, and cooperate within and across teams.",,I am not able to share my mistakes and I am blamed for the mistake by my supervisor,I find my professional goal has been stocked in this company,Neutral,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,No,No,Maybe,No,No
3/26/2022 11:47:40,,Female,25 - 29,below 3 years,5,5,5,5,Spirit teamwork and cooperation exist in my team,I am rewarded for the dedication and commitment towards the work,My opinions are heard and valued by my superiors,I find my work meaningful and challenging and provides me the opportunity to learn new things,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Maybe,Yes,Yes,Yes
3/26/2022 11:52:10,,Female,Less than 25,below 3 years,4,5,4,4,"Able to easily work together, share knowledge, and cooperate within and across teams.",,My supervisor provides me with actionable suggestions on what I can do to improve,I find my work meaningful and challenging and provides me the opportunity to learn new things,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Yes,Yes,Yes,Yes,Yes
3/26/2022 11:55:37,,Female,25 - 29,3 - 5 years,4,5,5,5,"Able to easily work together, share knowledge, and cooperate within and across teams.",Timely appraisal is done for the work we contribute,My supervisor provides me with actionable suggestions on what I can do to improve,I have adequate opportunities for professional growth in this organization,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Yes,Yes,Yes,Yes,Yes
3/26/2022 12:13:44,,Male,25 - 29,3 - 5 years,5,4,3,4,"Able to easily work together, share knowledge, and cooperate within and across teams.",Timely appraisal is done for the work we contribute,My supervisor provides me with actionable suggestions on what I can do to improve,I find my work meaningful and challenging and provides me the opportunity to learn new things,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,Yes,No,Maybe
3/26/2022 13:12:42,,Female,25 - 29,5 - 9 years,5,5,5,5,Spirit teamwork and cooperation exist in my team,I am rewarded for the dedication and commitment towards the work,My opinions are heard and valued by my superiors,I have adequate opportunities for professional growth in this organization,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,Yes,Yes,Yes
3/26/2022 14:08:33,,Male,25 - 29,3 - 5 years,4,4,5,4,Spirit teamwork and cooperation exist in my team,I am rewarded for the dedication and commitment towards the work,My opinions are heard and valued by my superiors,I find my work meaningful and challenging and provides me the opportunity to learn new things,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,Maybe,Yes,Yes
3/26/2022 16:17:09,,Male,Less than 25,below 3 years,5,5,5,5,Spirit teamwork and cooperation exist in my team,I am rewarded for the dedication and commitment towards the work,My opinions are heard and valued by my superiors,I have adequate opportunities for professional growth in this organization,Neutral,Neutral,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,Yes,Yes,Yes
3/26/2022 16:55:20,,Male,25 - 29,3 - 5 years,5,5,4,5,"Able to easily work together, share knowledge, and cooperate within and across teams.",Timely appraisal is done for the work we contribute,My opinions are heard and valued by my superiors,I have adequate opportunities for professional growth in this organization,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,Yes,Maybe,Yes
3/26/2022 17:10:25,,Male,25 - 29,3 - 5 years,4,4,3,4,Spirit teamwork and cooperation exist in my team,Timely appraisal is done for the work we contribute,My opinions are heard and valued by my superiors,I find my work meaningful and challenging and provides me the opportunity to learn new things,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,Yes,Yes,Yes
3/26/2022 18:21:52,,Male,25 - 29,3 - 5 years,4,5,3,5,Spirit teamwork and cooperation exist in my team,Timely appraisal along with timely rewards,My opinions are heard and valued by my superiors,I find my work meaningful and challenging and provides me the opportunity to learn new things,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Agree,Maybe,Maybe,Maybe,Yes,Yes
3/26/2022 21:12:34,,Female,25 - 29,below 3 years,1,2,2,2,Team Collaboration lacks in my team,My efforts towards the company goal is not appreciated,I am not able to share my mistakes and I am blamed for the mistake by my supervisor,I find my work meaningful and challenging and provides me the opportunity to learn new things,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,No,No,No,No
3/26/2022 22:26:02,,Male,25 - 29,below 3 years,3,5,4,4,"Able to easily work together, share knowledge, and cooperate within and across teams.",Timely appraisal is done for the work we contribute,My supervisor provides me with actionable suggestions on what I can do to improve,I find my work meaningful and challenging and provides me the opportunity to learn new things,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Yes,Yes,Yes,Yes,Maybe
3/27/2022 2:40:50,,Male,Less than 25,below 3 years,5,5,4,4,Spirit teamwork and cooperation exist in my team,I am rewarded for the dedication and commitment towards the work,My opinions are heard and valued by my superiors,I find my work meaningful and challenging and provides me the opportunity to learn new things,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Yes,Yes,Yes,Yes,Yes
3/27/2022 10:19:28,,Male,25 - 29,below 3 years,5,5,4,4,"Able to easily work together, share knowledge, and cooperate within and across teams.",I am rewarded for the dedication and commitment towards the work,My opinions are heard and valued by my superiors,I find my work meaningful and challenging and provides me the opportunity to learn new things,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,Yes,Yes,Yes